/* DATA DESCRIPTION:
Citation:	Voelker, Antje H L; de Abreu, Lucia (2011): Combined stable oxygen and carbon isotope ratios of benthic foraminifera of sediment core MD95-2040. PANGAEA, https://doi.org/10.1594/PANGAEA.737135, 
	In supplement to: Voelker, AHL; de Abreu, L (2011): A Review of Abrupt Climate Change Events in the Northeastern Atlantic Ocean (Iberian Margin): Latitudinal, Longitudinal and Vertical Gradients. In: Rashid, H; Polyak, L; Mosley-Thompson, E (eds.), Abrupt Climate Change: Mechanisms, Patterns, and Impacts. Geophysical Monograph Series (AGU, Washington D.C.), 193, 15-37, https://doi.org/10.1029/2010GM001021
Related to:	de Abreu, Lucia; Shackleton, Nicholas J; Schönfeld, Joachim; Hall, Michael A; Chapman, Mark R (2003): Millenial-scale oceanic climate variability off the Western Iberian margin during the last two glacial periods. Marine Geology, 196(1-2), 1-20, https://doi.org/10.1016/S0025-3227(03)00046-X
	Schönfeld, Joachim; Zahn, Rainer; de Abreu, Lucia (2003): Surface to deep water response to rapid climate changes at the western Iberian Margin. Global and Planetary Change, 36(4), 237-264, https://doi.org/10.1016/S0921-8181(02)00197-2
Project(s):	International Marine Global Change Study (IMAGES)
Coverage:	LATITUDE: 40.581833 * LONGITUDE: -9.861167
	DATE/TIME START: 1995-07-07T00:00:00 * DATE/TIME END: 1995-07-07T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.02 m * MAXIMUM DEPTH, sediment/rock: 35.21 m
Event(s):	MD95-2040 (MD952040) * LATITUDE: 40.581833 * LONGITUDE: -9.861167 * DATE/TIME: 1995-07-07T00:00:00 * ELEVATION: -2465.0 m * Recovery: 35 m * LOCATION: Porto Seamount * CAMPAIGN: MD101 (IMAGES I) (URI: hdl:10013/epic.37487.d001) * BASIS: Marion Dufresne (1995) (URI: http://www.institut-polaire.fr/ipev/bases_et_navires/le_marion_dufresne) * METHOD/DEVICE: Calypso Corer (CALYPSO) * COMMENT: XXIV Sections, core bent; section IIb jamed in the bent part of the core, recuperated in 1/2 liner
Comment:	The records combine data from Schoenfeld et al. (2003), de Abreu et al. (2003) and this study (http://doi.pangaea.de/10.1594/PANGAEA.733112), means are given for multiple values.
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	Foraminifera, benthic δ18O [‰ PDB] (Foram bent δ18O) * PI: Voelker, Antje H L (https://orcid.org/0000-0001-6465-6023, antje.voelker@ipma.pt) * METHOD/DEVICE: Isotope ratio mass spectrometry (URI: https://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry) * COMMENT: C. wuellerstorfi and Cibicidoides sp. are adjusted to U. peregrina level by adding 0.64 per mil.
	Cibicidoides wuellerstorfi, δ13C [‰ PDB] (C. wuellerstorfi δ13C) * PI: Voelker, Antje H L (https://orcid.org/0000-0001-6465-6023, antje.voelker@ipma.pt) * METHOD/DEVICE: Isotope ratio mass spectrometry (URI: https://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	1569 data points
*/
Depth [m]	Age [ka BP]	Foram bent δ18O [‰ PDB]	C. wuellerstorfi δ13C [‰ PDB]
29.72	293.432	4.64	0.66
29.75	293.865	4.69	0.27
29.78	294.297	4.68	-0.10
29.81	294.730	4.75	0.71
29.84	295.162	4.64	0.36
29.87	295.595	4.66	0.59
29.90	296.027	4.83	0.56
29.93	296.459	4.51	0.44
29.96	296.892	4.63	0.50
29.98	297.180	4.71	0.49
30.02	297.757	4.38	
30.05	298.189	4.07	
30.08	298.622	4.53	0.79
30.14	299.486	4.34	
30.17	299.919	4.15	0.73
30.20	300.351	4.30	0.76
30.23	300.784	4.08	0.70
30.26	301.216	4.21	0.85
30.29	301.649	4.33	0.92
30.32	302.081	4.04	0.82
30.35	302.514	4.59	-0.27
30.38	302.946	4.01	
30.41	303.378	4.42	0.67
30.44	303.811	3.76	0.46
30.47	304.243	4.22	0.49
30.50	304.676	4.27	0.84
30.53	305.108	4.54	0.76
30.54	305.252	4.20	0.65
30.59	305.973	4.28	0.34
30.62	306.405	4.28	0.59
30.67	307.126	4.29	0.82
30.71	307.703	4.19	0.67
30.74	308.135	4.00	0.72
30.77	308.568	3.91	0.71
30.80	309.000	4.09	0.79
30.83	309.667	3.81	0.68
30.86	310.333	3.84	0.58
30.89	311.000	3.96	0.64
30.92	311.667	3.85	0.62
30.95	312.333	3.77	0.41
30.98	313.000	3.79	0.58
31.04	314.333	3.60	0.55
31.07	315.000	3.91	0.88
31.10	315.667	3.61	0.65
31.13	316.333	3.75	
31.16	317.000	3.96	0.69
31.19	317.556	3.93	0.86
31.22	318.111	3.76	0.78
31.25	318.667	3.80	0.80
31.28	319.222	3.84	0.87
31.31	319.778	3.62	0.82
31.40	321.444	3.50	0.72
31.43	322.000	3.41	0.79
31.46	322.556	3.33	0.84
31.49	323.111	3.28	0.74
31.52	323.667	3.37	0.85
31.55	324.222	3.47	0.88
31.58	324.778	3.27	0.85
31.61	325.333	3.34	0.82
31.64	325.889	3.38	0.81
31.67	326.444	3.44	0.74
31.70	327.000	3.35	0.70
31.73	327.556	3.23	0.55
31.76	328.111	3.25	0.51
31.79	328.667	3.14	0.52
31.82	329.222	3.11	0.39
31.85	329.778	3.11	0.48
31.88	330.333	3.14	0.36
31.94	331.444	3.02	0.30
31.97	332.000	3.57	-0.19
32.03	333.800	3.12	0.20
32.27	341.000	5.46	-1.49
32.30	341.190	5.33	-1.47
32.33	341.381	4.83	-0.49
32.39	341.762	5.14	-0.34
32.44	342.079	4.92	-0.43
32.51	342.524	5.16	-0.18
32.57	342.905	5.23	-0.04
32.60	343.095	5.25	0.03
32.63	343.286	4.75	-0.55
32.66	343.476	5.30	-0.16
32.69	343.667	5.19	-0.02
32.72	343.857	5.36	-0.18
32.75	344.048	5.16	0.15
32.78	344.238	5.06	-0.23
32.81	344.429	5.23	-0.20
32.84	344.619	5.21	-0.01
32.90	345.000	5.31	0.25
32.93	345.217	5.12	0.29
32.96	345.435	5.12	0.36
32.99	345.652	5.06	0.12
33.08	346.304	5.08	0.19
33.11	346.522	5.14	0.23
33.14	346.739	5.12	0.45
33.17	346.957	5.01	0.17
33.20	347.174	5.04	-0.03
33.23	347.391	5.05	0.25
33.26	347.609	4.82	0.17
33.29	347.826	4.93	0.13
33.32	348.043	4.91	0.14
33.35	348.261	5.05	0.36
33.38	348.478	5.04	0.21
33.41	348.696	4.81	-0.07
33.44	348.913	5.01	0.19
33.47	349.130	4.80	0.05
33.50	349.348	4.93	0.03
33.53	349.565	4.74	0.09
33.56	349.783	4.98	0.27
33.59	350.000	5.01	0.59
33.62	350.313	4.91	0.42
33.65	350.625	4.85	0.26
33.68	350.938	4.91	0.46
33.71	351.250	4.87	0.45
33.74	351.563	4.75	0.37
33.77	351.875	4.78	0.33
33.80	352.188	4.64	0.20
33.83	352.500	4.66	0.23
33.86	352.813	4.78	0.07
33.89	353.125	4.55	-0.08
33.92	353.438	4.53	0.22
33.95	353.750	4.63	0.13
34.01	354.375	4.74	0.08
34.04	354.688	4.23	-0.08
34.07	355.000	4.75	-0.05
34.13	355.273	4.61	0.02
34.19	355.545	4.71	0.17
34.22	355.682	4.63	-0.11
34.25	355.818	4.66	-0.29
34.28	355.955	4.54	-0.01
34.31	356.091	4.73	-0.18
34.34	356.227	4.74	-0.08
34.37	356.364	4.67	-0.17
34.43	356.636	4.40	-0.04
34.46	356.773	4.75	-0.18
34.49	356.909	4.60	-0.23
34.52	357.045	4.70	-0.11
34.55	357.182	4.84	-0.17
34.58	357.318	4.69	-0.26
34.64	357.591	4.83	-0.27
34.67	357.727	4.77	-0.22
34.70	357.864	4.92	-0.36
34.73	358.000	4.95	-0.22
34.76	358.136	4.83	-0.22
34.79	358.273	4.90	-0.25
34.82	358.409	4.87	-0.33
34.85	358.545	4.82	-0.24
34.88	358.682	4.86	-0.22
34.91	358.818	4.65	-0.39
34.94	358.955	4.84	-0.23
35.03	359.364	4.92	-0.29
35.06	359.500	4.87	-0.31
35.09	359.636	4.92	-0.22
35.15	359.909	4.86	-0.20
35.18	360.045	5.05	-0.12
35.21	360.182	4.95	-0.16
